year,Drug-related deaths ,change from previous year,3-year average,5-year average,change from prev. 5-year average,likely lower,likely upper,Drug-related deaths: consistent series,number,percent
1996,244,,,,,,,,,
1997,224,-0.081967213,239,,,,,,,
1998,249,0.111607143,254.6666667,260,,228.3959496,291.6040504,,,
1999,291,0.168674699,277.3333333,277.6,0.067692308,244.9437883,310.2562117,,,
2000,292,0.003436426,305,309.2,0.113832853,274.7351959,343.6648041,293,1,0.003424658
2001,332,0.136986301,335.3333333,322.8,0.043984476,287.5853939,358.0146061,339,7,0.021084337
2002,382,0.15060241,343.6666667,335.8,0.040272615,299.8833008,371.7166992,388,6,0.015706806
2003,317,-0.170157068,351.6666667,344.6,0.026206075,308.2157265,380.9842735,330,13,0.041009464
2004,356,0.123028391,336.3333333,362.4,0.051654092,325.0878593,399.7121407,365,9,0.025280899
2005,336,-0.056179775,371,377,0.040286976,338.9436838,415.0563162,346,10,0.029761905
2006,421,0.25297619,404,428.4,0.136339523,387.8322611,468.9677389,430,9,0.021377672
2007,455,0.080760095,483.3333333,466.2,0.088235294,423.8803365,508.5196635,474,19,0.041758242
2008,574,0.261538462,524.6666667,496,0.063921064,452.3487274,539.6512726,591,17,0.029616725
2009,545,-0.050522648,534.6666667,528.6,0.065725806,483.5370467,573.6629533,570,25,0.04587156
2010,485,-0.110091743,538,553.8,0.047673099,507.675407,599.924593,512,27,0.055670103
2011,584,0.204123711,550,544.4,-0.016973637,498.6685334,590.1314666,609,25,0.042808219
2012,581,-0.005136986,564,558.2,0.025349008,511.8925371,604.5074629,606,25,0.04302926
2013,527,-0.092943201,574,602.4,0.079183088,554.2940769,650.5059231,559,32,0.060721063
2014,614,0.165085389,615.6666667,659.2,0.094289509,608.8772147,709.5227853,624,10,0.016286645
2015,706,0.149837134,729.3333333,729.8,0.107099515,676.8509709,782.7490291,710,4,0.005665722
2016,868,0.229461756,836,861.8,0.180871472,804.2613966,919.3386034,873,5,0.005760369
2017,934,0.076036866,996.3333333,995,0.154560223,933.1745036,1056.825496,937,3,0.003211991
2018,1187,0.270877944,1133.666667,1121.6,0.127236181,1055.959018,1187.240982,1196,9,0.00758214
2019,1280,0.078348778,1268.666667,1214,0.0823823,1145.708695,1282.291305,1282,2,0.0015625
2020,1339,0.04609375,1316.333333,,,,,1339,0,0
2021,1330,-0.00672143,,,,,,1330,0,0
